"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","5197.16045587396","5435.74085667369","5882.90063127629","6371.97774644335","6622.02094646504","6618.70671185143","6972.83227808439","7681.74469821618","8268.921407629","9224.11438112466","9841.23461305883","10345.2333490952","10846.9762619047","11080.7330486254","11172.0080351491","11107.9074844421","11462.1997980597","11967.8603997915","11201.7540149185","11685.7989119582","12062.0364967488","12370.4740135908","12580.0113853605","13124.5367966055","12333.5816333732","12287.9473803364","12869.4368950194","13436.087750605","14107.6558131371","15662.2704252901","16851.8981123392","16578.9726512804","14368.7007413694","13049.2570545735","12618.0791316619","12876.8892883551","12644.6890235017","12976.3314609289","13328.1466479391","13917.9511172561","14220.5021076325","15134.8841569088","15704.2659429089","",
"Australia","AUS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","19378.3252760841","19468.768299553","19245.6057524971","20053.3510269212","21035.9026922183","21861.9296757339","21877.5307457311","22964.6733986814","23712.8659963529","24857.5218078372","26120.6210729662","26263.4510188456","26793.9483515177","27077.127743479","27483.6494050426","27513.8157037751","27944.1955282312","28625.1325069178","28547.9478967551","29383.0330414053","29907.7966636623","30419.4868563251","30912.1882014341","29850.1578179192","30866.2222578728","32045.3123290391","32797.1796431992","33126.195391693","34460.2797399632","35190.1647293717","35911.3720771917","35315.5059493529","35033.3896674752","36090.3842053156","37133.0413139226","38095.1290061946","39056.1680099049","40153.6147166066","41555.9449080785","43168.2987221633","44334.4163924416","44585.2111928867","45806.7194040019","46595.9234893124","47926.7258598649","48813.9164122463","49443.2322862009","51024.20916188","51841.2609971277","51767.4024588708","52022.1255961876","52567.7619238659","53682.0321439532","54129.9357689465","54679.4164458288","55079.8923433681","55728.6822551091","56058.4659514366","56832.0504820575","57186.6212930671","",
"Austria","AUT","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13031.0317692215","13677.4644013835","13953.9501954416","14438.3568543653","15220.8199272257","15648.5269132562","16416.0056301174","16783.8899182416","17443.7052192203","18474.5402685695","19573.8671624626","20483.4535598112","21628.9664335624","22561.3707979535","23410.8905695839","23387.7067454633","24501.7497216814","25736.5515667292","25703.13767632","27126.1785110046","27595.8351416849","27485.8324807734","28018.5413109715","28898.2193015577","28914.8569002289","29623.4344573714","30285.933643177","30677.5444784051","31643.8093644956","32726.0598533404","33888.9959832052","34707.0717555948","35045.8447897486","34941.1438000899","35643.0281994678","36537.9935189467","37346.00747133","38084.702501734","39405.4152181248","40727.4844977123","42001.210774577","42370.9302536426","42859.3299380524","43052.602598004","43956.5829032552","44637.8560109729","45951.7346365426","47510.2937856663","48053.4823567215","46123.4911031965","46858.0432733717","48065.3165411898","48172.2381151452","47901.366129632","47842.7489082353","47789.3850154389","48215.8905287218","49031.1070286152","50051.7859126367","50552.9061212823","",
"Azerbaijan","AZE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3167.06208817709","3096.44979581974","2360.6146998036","1787.94376282146","1416.44236153429","1234.99655955667","1238.48136554173","1297.73380928734","1414.02228639608","1505.39050127936","1658.80529323062","1808.95740069391","1964.98632844986","2149.23250460856","2327.65185795531","2948.20604828813","3921.02755330664","4863.98288042342","5267.371988685","5642.5047154852","5842.80578358576","5676.45041334095","5724.92083164488","5981.58065567077","6072.64612808803","6063.7178320377","5812.60867097356","5764.69251955865","5800.71518438101","5879.99265435911","",
"Burundi","BDI","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","213.39688081986","180.545876285742","193.191880665894","197.305647300731","205.396400591232","208.846076720306","213.235282410668","236.535680939732","229.915102622963","221.450916401238","263.643956763226","266.978062580072","247.104003747795","261.529170917932","256.687330407088","254.675947596146","269.801511616064","294.225338609102","284.460085621528","281.917260438568","277.447458631793","303.227653673613","292.277811386532","295.196478335089","287.749697844271","312.872113350282","314.056875533449","322.086263161854","329.025420980918","324.771190295123","327.986681933291","336.580270395656","332.765875459652","305.948149312137","289.196918329432","262.375065939413","238.474631535111","232.305477391278","240.844572896698","235.309285692169","229.206107263877","228.660388811251","232.466497747919","222.807321080131","226.288471649801","221.096374710531","225.622210413864","225.859085274657","229.148545082546","230.192598508771","234.235646874999","235.988766659787","238.816045825172","242.845994657449","245.326738733565","228.432544171606","219.961497757751","214.139246201959","210.804225834169","208.074726923036","",
"Belgium","BEL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13021.6523226267","13624.5883082738","14277.7557746621","14788.0932437405","15667.857518951","16079.0517691191","16474.8315912848","17017.1131514409","17661.2184337474","18778.8704316734","19807.7253917208","20559.7234222373","21563.8784560089","22867.9515686177","23836.8157944385","23300.7664142045","24573.9529166003","24697.3089301033","25375.4945117631","25946.22174111","27069.4358273345","26994.5472977401","27162.5422127729","27249.4113540089","27921.9054524642","28374.6644476755","28881.5692179812","29522.589326237","30818.8657051313","31772.4011406873","32671.6452350891","33147.139122237","33518.2431754678","33066.4173547589","34028.4248411231","34767.0289096958","35157.6952421495","36403.2582243852","37038.2489563237","38262.6247646785","39588.5978784345","39886.4953116175","40385.8680929315","40634.5964886326","41903.9923992143","42641.6935775474","43442.5827025048","44710.3842532272","44556.8252232385","43306.596023102","44141.8781415734","44309.6325382687","44361.2100930567","44355.3773098766","44855.9702018757","45507.2310582037","45850.9330303307","46409.1300759444","47035.6139543386","47618.2982067854","",
"Benin","BEN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","711.936341366233","724.102582686749","688.946213739833","710.194103236044","744.801684024506","770.409675101826","783.141774906787","776.206341683346","789.779901263425","795.669169933237","795.155803887301","766.351604762684","797.647183646765","808.583731015686","816.254600049531","757.810267170896","745.780949470855","763.276398774364","753.008231239408","781.252899139596","812.098279953949","868.869317415802","863.957546623369","803.435905886598","842.767028289599","880.45663521409","873.837440407871","835.913992648877","838.9278558684","790.100555114247","833.612239782791","839.98687843652","835.261114323316","853.596684179984","841.512455878896","863.470642470708","872.917139964444","895.44402689768","903.774011636785","924.35720670547","949.736259160293","970.590243312842","985.213354393403","988.627481599083","1001.85440007121","989.372278966197","999.020026621627","1029.03226327339","1049.36786915158","1043.96189434954","1036.53395164469","1037.74703995475","1057.66774031197","1102.52743002686","1140.44775377804","1128.99638029977","1134.92453620908","1166.76057483953","1211.31656294328","1259.80807064558","",
"Burkina Faso","BFA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","268.744106353216","275.881998338769","288.909500344678","281.416850339393","283.829121318269","290.189797264514","287.226696889536","307.50018836796","311.633925950035","312.533908263647","307.535402080746","306.499088857432","308.104090349521","303.99277346498","323.211987876298","326.709529101545","347.840436907977","342.31418714713","350.856173228684","356.035817710851","350.920745176502","357.352001473208","382.055224425693","373.838222909577","357.908816774375","378.509123978719","398.17250496211","387.013886719819","398.848664446777","396.810909783273","384.068460536201","407.838445496536","397.925837803235","400.693761864449","395.040618248006","406.311074282112","438.764552891609","453.67430333382","473.371526443549","494.231230300616","489.455363473775","507.117970056445","514.189865136073","538.473818308892","546.357720256963","576.37174497503","594.378678955336","600.456114437077","616.353254305698","615.6909235282","647.835846453449","670.264548170737","692.445037915868","711.035989724097","720.152193971001","726.712509173464","747.885688770555","771.647944054805","800.311721098057","822.203917045326","",
"Bangladesh","BGD","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","372.03174536069","383.784409679025","393.633503098828","380.956079546674","410.571501971691","404.788113389097","402.302981343579","382.207715239462","405.533661773687","398.9499699562","411.184417663496","380.948659730106","322.334448706333","328.071929667952","353.76255072651","332.888106952267","343.948202903227","344.435612184429","359.090652965473","366.241160153289","359.456305545582","375.427482209506","373.551398045412","378.091979322627","386.06149468694","388.644325644078","394.335121524796","398.588179836859","397.761964747011","398.852163534979","411.164666100691","415.714796396397","428.661074811259","439.230058797669","446.654872249636","459.613429073711","470.274751382878","481.122518199902","495.626820187702","508.385290535559","524.94593974353","541.291733102006","551.903121370277","568.139301371235","588.327337375938","617.542748763888","649.929971831323","687.323177291706","720.357100019766","748.296160296938","781.153593557047","822.188302103644","865.750045010274","907.257539095072","951.314947969132","1002.38886567839","1062.04005915791","1127.2715619676","1203.21642542608","1287.8215971097","",
"Bulgaria","BGR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3651.35928600927","3817.53791344539","3895.12151369247","4018.69505704313","4145.47714474626","4256.7812740725","4437.06623133845","4698.79157444701","5207.20509148483","5095.16214354836","4714.8996124394","4359.67583040337","4086.2690540139","4058.0242122509","4145.85441360645","4283.2558083369","4526.65391621036","3907.91330807584","4102.66445589065","3784.07810377947","3984.66596829829","4219.94318931861","4569.27428187651","4842.88565433566","5193.91346070867","5607.52705521766","6034.62012591414","6477.77027728137","6920.38895361115","6730.05814265952","6812.40633845402","7017.66364599858","7083.59878715875","7146.5587960175","7322.80862919503","7663.72202887539","8012.51120825339","8353.9682378682","8674.72320233978","9058.73528029721","",
